iter,azimuth,elevation,edge_score,mad_raw,score_raw,mad_blur,score_blur
1,6.2505436435442165,-0.006262120464362031,0.1614425692923757,0.0,1.0,0.0,1.0
2,6.2505436435442165,-0.006262120464362031,0.1614425692923757,0.0,1.0,0.0,1.0
3,6.2505436435442165,-0.006262120464362031,0.1614425692923757,0.0,1.0,0.0,1.0
4,6.2505436435442165,-0.006262120464362031,0.1614425692923757,0.0,1.0,0.0,1.0
5,6.2505436435442165,-0.006262120464362031,0.1614425692923757,0.0,1.0,0.0,1.0
6,6.2505436435442165,-0.006262120464362031,0.1614425692923757,0.0,1.0,0.0,1.0
7,6.2505436435442165,-0.006262120464362031,0.1614425692923757,0.0,1.0,0.0,1.0
8,6.2505436435442165,-0.006262120464362031,0.1614425692923757,0.0,1.0,0.0,1.0
9,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
10,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
11,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
12,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
13,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
14,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
15,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
16,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
17,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
18,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
19,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
20,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
21,0.01851401982790435,0.017261257035234477,0.1868868075539434,0.0,1.0,0.0,1.0
22,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
23,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
24,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
25,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
26,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
27,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
28,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
29,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
30,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
31,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
32,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
33,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
34,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
35,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
36,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
37,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
38,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
39,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
40,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
41,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
42,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
43,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
44,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
45,0.007434895331870157,-0.007226138538367014,0.22656342355481413,0.0,1.0,0.0,1.0
46,6.276013006727047,-0.002956867463073733,0.2371249422128166,0.0,1.0,0.0,1.0
47,6.276013006727047,-0.002956867463073733,0.2371249422128166,0.0,1.0,0.0,1.0
