iter,azimuth,elevation,edge_score,mad_raw,score_raw,mad_blur,score_blur
1,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
2,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
3,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
4,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
5,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
6,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
7,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
8,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
9,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
10,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
11,3.14490802542431,0.021509479011240007,0.452606250627397,0.0,1.0,0.0,1.0
12,3.1437169268959053,0.01981750048061837,0.48461217626733544,0.0,1.0,0.0,1.0
13,3.1437169268959053,0.01981750048061837,0.48461217626733544,0.0,1.0,0.0,1.0
14,3.1437169268959053,0.01981750048061837,0.48461217626733544,0.0,1.0,0.0,1.0
15,3.1437169268959053,0.01981750048061837,0.48461217626733544,0.0,1.0,0.0,1.0
16,3.1437169268959053,0.01981750048061837,0.48461217626733544,0.0,1.0,0.0,1.0
17,3.1437169268959053,0.01981750048061837,0.48461217626733544,0.0,1.0,0.0,1.0
18,3.1437169268959053,0.01981750048061837,0.48461217626733544,0.0,1.0,0.0,1.0
19,3.1437169268959053,0.01981750048061837,0.48461217626733544,0.0,1.0,0.0,1.0
20,3.1437169268959053,0.01981750048061837,0.48461217626733544,0.0,1.0,0.0,1.0
21,3.13750109709526,-0.012445758482379585,0.5432796605104009,0.0,1.0,0.0,1.0
22,3.1498904410815647,-0.002466016470029947,0.5802695161447942,0.0,1.0,0.0,1.0
23,3.1498904410815647,-0.002466016470029947,0.5802695161447942,0.0,1.0,0.0,1.0
24,3.1498904410815647,-0.002466016470029947,0.5802695161447942,0.0,1.0,0.0,1.0
25,3.1498904410815647,-0.002466016470029947,0.5802695161447942,0.0,1.0,0.0,1.0
26,3.1498904410815647,-0.002466016470029947,0.5802695161447942,0.0,1.0,0.0,1.0
27,3.1498904410815647,-0.002466016470029947,0.5802695161447942,0.0,1.0,0.0,1.0
28,3.1498904410815647,-0.002466016470029947,0.5802695161447942,0.0,1.0,0.0,1.0
